path,label,artist
hans-hofmann_the-wind-1942.jpg,1,hans hofmann
franz-kline_blueberry-eyes-1960.jpg,0,franz kline
franz-kline_black-and-white-png.jpg,0,franz kline
franz-kline_accent-grave-1955.jpg,0,franz kline
henri-michaux_untitled-1.jpg,2,henri michaux
franz-kline_untitled.jpg,0,franz kline
franz-kline_four-square-1956.jpg,0,franz kline
franz-kline_untitled-1955.jpg,0,franz kline
jackson-pollock_blue-poles-number-11-1.jpg,3,jackson pollock
franz-kline_untitled-1957-1.jpg,0,franz kline
franz-kline_untitled-1956.jpg,0,franz kline
jackson-pollock_black-white-number-20-1951.jpg,3,jackson pollock
hans-hofmann_in-the-vastness-of-sorrowful-thoughts-1963.jpg,1,hans hofmann
hans-hofmann_rope-swinger-1962.jpg,1,hans hofmann
henri-michaux_untitled-1979.jpg,2,henri michaux
franz-kline_chief-1950.jpg,0,franz kline
jackson-pollock_cathedral-1947.jpg,3,jackson pollock
franz-kline_buttress-1956.jpg,0,franz kline
franz-kline_cardinal-1950.jpg,0,franz kline
franz-kline_figure-eight-1952.jpg,0,franz kline
franz-kline_zinc-yellow-1959.jpg,0,franz kline
franz-kline_untitled-1957.jpg,0,franz kline
jackson-pollock_alchemy-1947(2).jpg,3,jackson pollock
hans-hofmann_the-prey-1956.jpg,1,hans hofmann
franz-kline_untitled-1.jpg,0,franz kline
jackson-pollock_autumn-rhythm-number-30-1950.jpg,3,jackson pollock
jackson-pollock_composition-with-pouring-ii(1).jpg,3,jackson pollock
hans-hofmann_don-quixote-1963.jpg,1,hans hofmann
franz-kline_untitled-ii.jpg,0,franz kline
franz-kline_delaware-gap.jpg,0,franz kline
jackson-pollock_convergence-1952.jpg,3,jackson pollock
hans-hofmann_astral-nebula-1961.jpg,1,hans hofmann
jackson-pollock_composition-white-black-blue-and-red-on-white-1948.jpg,3,jackson pollock
